STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,OBJECTID,COL_A,County,Ancillary_Access_Rate,Education_and_Skills_Dev_Rate,Employment_Rate,Engagement_Rate,Exits_With_Earnings,Family_Stabilization_to_WTW_Eng,First_Activity_Rate,OCAT_Appraisal_to_Next_Activity,OCAT_Timeliness_Rate,PostCWEmployment,Reentry_After_Exit_with_Earning,Reentry,Sanction_Rate,Sanction_Resolution_Rate,Orientation_Attendance_2024
06,091,00277310,06091,Sierra,Sierra County,06,H1,G4020, , , ,A,2468694583.000000000000000,23299110.000000000000000,+39.5769252,-120.5219926,375602.758281000016723,4200449582.900000095367432,46,,Sierra,NA,NA,Low (Outlier),Low,Low (Outlier),NA,Low,NA,Low,Low (Outlier),Low,Low (Outlier),Low,Low,Low (Outlier)
06,067,00277298,06067,Sacramento,Sacramento County,06,H1,G4020,472,40900, ,A,2499983887.000000000000000,75425434.000000000000000,+38.4500161,-121.3404408,406584.174166999990121,4205515609.969999790191650,34,,Sacramento,Low (Outlier),High,Medium,Medium,Low,NA,NA,High,NA,Low,High,High,Medium,Medium,High
06,083,00277306,06083,Santa Barbara,Santa Barbara County,06,H1,G4020, ,42200, ,A,7084063392.000000000000000,2729751706.000000000000000,+34.5370572,-120.0399729,891686.747246999992058,14498407802.299999237060547,42,,Santa Barbara,Medium,Low,High,Low,High,NA,Medium,Medium,NA,High,Medium,Medium,Low,Medium,High
06,009,01675885,06009,Calaveras,Calaveras County,06,H1,G4020, , , ,A,2641784992.000000000000000,43841871.000000000000000,+38.1838996,-120.5614415,367005.879680000012740,4356213312.520000457763672,5,,Calaveras,High,High,Low,High,Low,NA,High,NA,Low,Medium,Low,Low,High,Low,High
06,111,00277320,06111,Ventura,Ventura County,06,H1,G4020,348,37100, ,A,4771987962.000000000000000,947345370.000000000000000,+34.3587415,-119.1331432,527772.242190000019036,8413293072.229999542236328,56,,Ventura,High,High,High,High,Medium,NA,NA,Low,NA,High,Medium,Low,High,High,High
06,037,00277283,06037,Los Angeles,Los Angeles County,06,H1,G4020,348,31080,31084,A,10511861492.000000000000000,1793485467.000000000000000,+34.1963983,-118.2618616,883876.944788999971934,18034312799.299999237060547,19,,Los Angeles,High,Medium,Low,Medium,Medium,Low,High,Low,NA,Medium,Medium,Low,Medium,Medium,Medium
06,097,01657246,06097,Sonoma,Sonoma County,06,H1,G4020,488,42220, ,A,4080764059.000000000000000,498182342.000000000000000,+38.5251824,-122.9261095,486513.254292000026908,7492856117.140000343322754,49,,Sonoma,Low (Outlier),High,Medium,High,Medium,NA,Medium,Medium,NA,Medium,Medium,Medium,Low,Low,High
06,031,00277280,06031,Kings,Kings County,06,H1,G4020,260,25260, ,A,3600883803.000000000000000,3162664.000000000000000,+36.0724780,-119.8155301,354668.809276000014506,5528559882.899999618530273,16,,Kings,High,Medium,High,Medium,Medium,Low,High,Low,NA,High,High,High,Low,High,High
06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020, ,41740, ,A,10904373558.000000000000000,817404622.000000000000000,+33.0236041,-116.7761174,553042.602989000035450,16722013503.600000381469727,37,,San Diego,Medium,High,Medium,Low,Low,NA,Medium,High,NA,Low,Medium,Medium,Low,High,High
06,061,00277295,06061,Placer,Placer County,06,H1,G4020,472,40900, ,A,3644306246.000000000000000,246466620.000000000000000,+39.0620323,-120.7227181,533218.198322999989614,6462795399.760000228881836,31,,Placer,Low,High,Low,High,Low,NA,Medium,Medium,NA,Low,Medium,Low,Low,NA,NA
